name,publications,citations
Natl Inst Adv Studies,1,0
Univ Kashmir,6,26
Bombay Hosp & Med Res Ctr,2,22
Epilepsy Fdn India,2,22
Chengalpattu Med Coll & Hosp,1,22
Indian Inst Sci Educ & Res IISER Tirupati,2,8
Indian Inst Technol IIT Tirupati,1,5
SGT Med Coll,1,1
Indian Inst Technol Kanpur,14,10
Indian Vet Res Inst,3,36
NRI Inst Res & Technol,1,1
Oriental Inst Sci & Technol,2,10
Agricure Biotech Res Soc,2,10
Govt Jammu & Kashmir,3,10
Indira Gandhi Natl Open Univ IGNOU,3,10
Madras Med Coll & Govt Gen Hosp,7,166
Cent Drug Res Inst,3,23
Acad Sci & Innovat Res,5,39
Int Inst Hlth Management Res,1,1
Azim Premji Univ,3,2
Avinashilingam Inst Home Sci & Higher Educ Women,6,246
Farmers Bio Fertilizers & Organ,4,215
Bharath Univ,2,152
Cent Univ Nagaland,1,151
Thiruvalluvar Univ,2,186
Vis Res Fdn,8,253
Sri Venkateswara Coll Engn,7,85
Nichi In Ctr Regenerat Med,1,11
Gautam Buddha Univ,9,16
Smriti Coll Pharmaceut Educ,2,5
Matoshri Inst Pharm,2,5
Inst Integrat Om & Appl Biotechnol IIOAB,1,6
IQVIA,3,4
Univ Gour Banga,15,338
Patanjali Res Fdn Trust,2,0
Univ Patanjali,9,9
Sree Chitra Tirunal Inst Med Sci & Technol SCTIMS,2,9
St Johns Natl Acad Hlth Sci,4,0
Indian Inst Technol Madras,20,58
CSIR Cent Drug Res Inst,3,50
Sardar Patel Coll Pharm,1,2
SGPGIMS,2,3
Indian Council Med Res Natl AIDS Res Inst,1,0
Natl Brain Res Ctr NBRC,1,0
North Bengal Med Coll & Hosp,1,23
Paramitha Children Hosp,1,8
Natl Inst Med Sci,2,9
Kokilaben Dhirubhai Ambani Hosp & Med Res Inst,6,852
Univ Mysore,7,47
Nova IVF Fertil,1,18
Fortis CDOC Hosp,1,50
Natl Diabet Obes & Cholesterol Fdn,3,86
Diabet Fdn India,2,62
Ramakrishna Mission Vivekananda Centenary Coll,1,11
Uluberia Coll,1,11
HBNI Univ,1,6
Fortune Inst Int Business,1,1
Indian Inst Management IIM Raipur,1,1
CAPFs Composite Hosp,1,0
Amity Univ Haryana,9,66
ICMR Natl Inst Pathol,1,20
Dr Reddys Inst Life Sci,4,23
Pallium India,1,1
SPS Hosp,4,25
Manav Rachna Int Inst Res & Studies,1,1
Barrackpore Rastraguru Surendranath Coll,1,1
Raiganj Univ,7,6
Greater Chennai Corp,1,0
Indian Inst Management Jammu,1,0
Indira Global Business Sch,1,0
Marathwada Mitra Mandals Coll Commerce,1,0
Natl Atmospher Res Lab NARL,1,1
Jaypee Univ Informat Technol,9,70
CSIR Inst Genom & Integrat Biol,2,0
PSIT,1,0
JIS Univ,6,17
NIT,4,5
VNIT,1,0
Max Superspecial Hosp,4,16
MV Ctr Diabet,4,16
MV Hosp Diabetes,4,16
M Viswanathan Diabet Res Ctr,2,1
Univ Kalyani,16,69
Serampore Coll,1,0
IIEST,1,0
Shri Mata Vaishno Devi Univ,2,1
Birbal Sahni Inst Palaeosci,1,0
SRM Dent Coll,1,1
Bharati Vidyapeeths Coll Engn,7,17
Vellore Inst Technol,30,92
Dr BC Roy Engn Coll,1,3
CSIR Indian Inst Toxicol Res,1,0
MNR Dent Coll & Hosp,1,0
Univ Hyderabad Campus,3,14
Malla Reddy Med Coll Women,1,0
Medanta Medicity,2,27
Max Super Special Hosp Saket,1,25
Amrita Inst,1,25
Aster Medicity,1,25
Aster CMI Hosp,2,25
SGPGI,2,63
Gleneagles Global Hosp,4,25
Kauvery Hosp,1,25
Dr Rela Inst & Med Ctr,5,36
Bombay Hosp Inst Med Sci,4,7
GB Pant Inst Post Grad Med Educ & Res,1,5
Dayanand Med Coll,3,69
Pandit Deendayal Petr Univ,2,2
Govt PG Coll,1,1
GLA Univ,6,7
Delhi Pharmaceut Sci & Res Univ DPSRU,1,2
Adichunchanagiri Univ,1,2
Guru Nanak Dev Univ,7,37
SMS Med Coll & Hosp,9,5
Indian Sch Mines,6,15
Siksha O Anusandhan Univ,2,3
Sambalpur Univ,8,82
Modern Inst Technol,2,6
Saha Inst Nucl Phys,1,28
Homi Bhaba Natl Inst,1,28
Saha Inst Nucl Phys HBNI,1,28
Maharishi Markandeshwar Univ,1,2
Natl Inst Tech Teachers Training & Res,6,10
Siksha O Anusandhan Deemed Be Univ,1,6
MCKV Inst Engn,5,10
Jaypee Inst Informat Technol,13,108
Larsen & Toubro Infotech,1,6
Burdwan Med Coll,5,24
40 Jadunath Sarbovouma Lane,1,2
Max Hlth Care Inst,1,22
PD Hinduja Natl Hosp & Med Res Ctr,3,81
Govt Uttar Pradesh,1,0
HNB Garhwal Univ,2,3
ISF Coll Pharm,6,14
King Georges Med Univ KGMU,6,20
WHO Reg Off South East Asia,1,73
Bharath Inst Higher Educ & Res,4,24
SRM Med Coll Hosp & Res Ctr,3,13
Natl Fdn Liver Res,1,10
SVKMS NMIMS,2,2
Global Inst Pharmaceut Educ & Res,2,8
Sree Narayana Coll,1,4
Ctr Dis Dynam Econ & Policy,1,42
Govt Tamil Nadu,2,84
Guntur Med Coll,1,42
Govt Andhra Pradesh,1,42
Amity Univ Rajasthan,6,7
West Bengal State Univ,4,24
Aliah Univ,5,9
Netaji Subhas Inst Technol,1,8
MGM Muthoot Hosp Pathanamthitta,4,99
CRAFT Hosp & Res Ctr,3,54
Jawaharlal Inst Postgrad Med Educ & Res,11,120
Maharaja Krushna Chandra Gajapati Med Coll,1,10
Manipal Univ,3,13
Kalasalingam Acad Res & Educ,6,30
BS Abdur Rahman Crescent Inst Sci & Technol,1,1
Saral Diagnost,1,0
Adamas Univ,16,351
Fakir Mohan Univ,6,44
Pingla Thana Mahavidyalaya,7,53
Super Special Pediat Hosp & Post Grad Teaching In,3,2
Agrevolution Pvt Ltd,1,0
Tata Inst Social Sci,3,2
Bihar State Pollut Control Board,2,0
Mahavir Canc Inst & Res Ctr,2,0
Patanjali Chikitsalya,1,1
Patanjali Res Inst,8,9
Indian Inst Technol IIT Roorkee,2,6
Indian Inst Technol IIT Delhi,4,118
Natl Inst Technol Patna,3,1
Periyar Univ,8,150
Clin Brain Neuropsychiat Inst & Res Ctr,4,58
Indian Psychiat Soc,2,10
Govt Karnataka,7,40
NIMHANS,5,104
Anand Hosp & Eye Ctr,1,0
Ctr Sight Grp Eye Hosp,1,0
