name,type
Integral Univ,University
Prin KM Kundnani Coll Pharm,College
Chief Med Hlth Officer CMHO,None
Joint Initiat Indian Inst Sci Educ & Res IISER Pu,Institute
SMS Med Coll & Attached Hosp,College
Apollo Hosp,Hospital
Jadavpur Univ,University
Behav Insights Architecture & Strategy BIAS,None
Monk Prayogshala,None
Meghnad Desai Acad Econ,Academy
SRMIST,None
MS Ramaiah Inst Technol,Institute
MS Ramaiah Univ Appl Sci,University
Siddaganga Inst Technol,Institute
360 Diagnost & Hlth Serv,None
Noodle Analyt Pvt Ltd,None
Valerian Chem Pvt Ltd,None
Bhaktshreshtha Kamalakarpant Laxman Walawalkar Ru,Research Center
Smt Kashibai Navale Med Coll & Gen Hosp,College
Pushpagiri Inst Med Sci & Res Ctr,Institute
NDMC Med Coll & Hindu Rao Hosp,College
Mahatma Gandhi Med Coll & Hosp,College
Narayana Super Special Hosp,Hospital
Regency Super Special Hosp,Hospital
Columbia Asia Referral Hosp,Hospital
PSRI Hosp,Hospital
UR Anoop Res Grp,Research Center
Sri Balaji Vidyapeeth Deemed Univ,University
Pondicherry Cent Univ,University
Dr LalPathlabs Natl Reference Lab,None
Indian Inst Sci Educ & Res Bhopal,Institute
Bennett Univ,University
Manipal Univ Jaipur,University
Natl Inst Technol Hamirpur,Institute
M Viswanathan Hosp Diabet,Hospital
Annus Hosp Skin & Diabet,Hospital
Visvesvaraya Natl Inst Technol,Institute
Indraprastha APOLLO Hosp,Hospital
Piramal Swasthya Management & Res Inst,Institute
Nference Labs,None
Indian Inst Management Udaipur,Institute
AU KBC Res Ctr,Research Center
Ctr Cellular & Mol Biol,Research Center
SP Jain Inst Management & Res,Institute
Stella Maris Coll Autonomous,College
Karunya Inst Technol & Sci,Institute
CSIR IHBT,None
AcSIR,None
JAYPEE Univ Engn & Technol,University
DAV Univ,University
GNDU,None
THSTI,None
Assam Univ,University
Cent Food Technol Res Inst,Institute
Mahatma Gandhi Univ,University
Indian Spinal Injuries Ctr,Research Center
Sir HN Reliance Fdn Hosp,Hospital
Grant Med Coll,College
Sir JJ Hosp,Hospital
Sir HN Reliance Hosp,Hospital
Ganga Hosp,Hospital
CSIR Indian Inst Integrat Med IIIM,Institute
Kazi Nazrul Univ,University
Dr Umayal Ramanathan Coll Women,College
ICAR Cent Res Inst Dryland Agr,Institute
Acharya NG Ranga Agr Univ,University
Univ Hyderabad,University
Anticlock Clin,Hospital
Vanila Dermol,None
Indian Inst Sci Educ & Res IISER,Institute
Seth GS Med Coll & KEM Hosp,College
Rajiv Gandhi Ctr Biotechnol,Research Center
