first_name,last_name,full_name,department,organization,country,leader,times_cited,team_id,position,api_name
Amita,Gupta,"Amita, Gupta",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Amita
Nishi,Suryavanshi,"Nishi, Suryavanshi",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Nishi
Vidya,Mave,"Vidya, Mave",Byramjee Jeejeebhoy Govt Med Coll,Johns Hopkins Univ,India,"Ivan, Marbaniang",1,22,other,Vidya
Ivan,Marbaniang,"Ivan, Marbaniang",Epidemiol,McGill Univ,Canada,"Ivan, Marbaniang",1,22,leader,Ivan
Shashikala,Sangle,"Shashikala, Sangle",Gen Med,Byramjee Jeejeebhoy Govt Med Coll,India,"Ivan, Marbaniang",1,22,other,Shashikala
Sonali,Salvi,"Sonali, Salvi",Gen Med,Byramjee Jeejeebhoy Govt Med Coll,India,"Ivan, Marbaniang",1,22,other,Sonali
Amita,Gupta,"Amita, Gupta",Med & Infect Dis,Johns Hopkins Univ,USA,"Ivan, Marbaniang",1,22,other,Amita
Vidya,Mave,"Vidya, Mave",Med & Infect Dis,Johns Hopkins Univ,USA,"Ivan, Marbaniang",1,22,last,Vidya
Rajib,Dasgupta,"Rajib, Dasgupta",Ctr Social Med & Community Hlth,Jawaharlal Nehru Univ,India,"Rajib, Dasgupta",0,24,"first, leader",Rajib
Anita,Kotwani,"Anita, Kotwani",Vallabhbhai Patel Chest Inst,Univ Delhi,India,"Rajib, Dasgupta",0,24,other,Anita
Sukhadeo B,Barbuddhe,"Sukhadeo B, Barbuddhe",Hyderabad,ICAR Natl Res Ctr Meat,India,"Rajib, Dasgupta",0,24,other,Sukhadeo
Fiona,Tomley,"Fiona, Tomley",Pathobiol & Populat Sci,Royal Vet Coll,England,"Rajib, Dasgupta",0,24,other,Fiona
Robyn,Alders,"Robyn, Alders",Chatham House,Ctr Universal Hlth,England,"Rajib, Dasgupta",0,24,other,Robyn
Robyn,Alders,"Robyn, Alders",Dev Policy Ctr,Australian Natl Univ,Australia,"Rajib, Dasgupta",0,24,last,Robyn
Fazlur,Rahman,"Fazlur, Rahman",Biotechnol,Jamia Millia Islamia,India,"Abdur, Rub",5,27,first,Fazlur
Shams,Tabrez,"Shams, Tabrez",Biotechnol,Jamia Millia Islamia,India,"Abdur, Rub",5,27,other,Shams
Rahat,Ali,"Rahat, Ali",Biotechnol,Jamia Millia Islamia,India,"Abdur, Rub",5,27,other,Rahat
Abdur,Rub,"Abdur, Rub",Biotechnol,Jamia Millia Islamia,India,"Abdur, Rub",5,27,leader,Abdur
Ali S,Alqahtani,"Ali S, Alqahtani",Pharmacognosy,King Saud Univ,Arabia,"Abdur, Rub",5,27,other,Ali
Mohammad Z,Ahmed,"Mohammad Z, Ahmed",Pharmacognosy,King Saud Univ,Arabia,"Abdur, Rub",5,27,last,Mohammad
Amol,Raheja,"Amol, Raheja",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,first,Amol
Niveditha,Manjunath,"Niveditha, Manjunath",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Niveditha
Kanwaljeet,Garg,"Kanwaljeet, Garg",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Kanwaljeet
Vivek,Tandon,"Vivek, Tandon",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,leader,Vivek
Shashwat,Mishra,"Shashwat, Mishra",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Shashwat
Ashish,Suri,"Ashish, Suri",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Ashish
P Sarat,Chandra,"P Sarat, Chandra",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Chandra
Manmohan,Singh,"Manmohan, Singh",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Manmohan
Shashank S,Kale,"Shashank S, Kale",Neurosurg,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Shashank
Vivek,Gupta,"Vivek, Gupta",Ophthalmol,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Vivek
Ahamadulla,Shariff,"Ahamadulla, Shariff",Anat,All India Inst Med Sci,India,"Vivek, Tandon",1,30,other,Ahamadulla
Sameer,Ather,"Sameer, Ather",Cardiol,Univ Alabama Birmingham,USA,"Vivek, Tandon",1,30,last,Sameer
