full_name,publication_year,team_id,gender
"Nicola, Bellomo",2006,928,female
"Guido, Forni",2006,928,female
"Jens Koed, Madsen",2019,929,male
"Richard, Sailey",2019,929,female
"Ernesto, Carrella",2019,929,male
"Philipp, Koralus",2019,929,female
"Donald L, Gilstrap",2009,930,female
"Brandon D L, Marshall",2015,931,male
"Sandro, Galea",2015,931,female
"Andrew, Koleros",2020,932,female
"Sean, Mulkerne",2020,932,male
"Mark, Oldenbeuving",2020,932,female
"Danielle, Stein",2020,932,male
"Raed M, Jaradat",2018,933,male
"Charles B, Keating",2018,933,female
"Joseph M, Bradley",2018,933,male
"Elias, Zafiris",2012,934,male
"P, Marcenac",1998,935,female
"S, Giroux",1998,935,male
"Gerardo, Aquino",2011,936,female
"Mauro, Bologna",2011,936,female
"Bruce J, West",2011,936,male
"Paolo, Grigolini",2011,936,female
"RV, Abramov",2004,937,male
"AJ, Majda",2004,937,female
"Yajie, Dou",2019,938,female
"Danling, Zhao",2019,938,male
"Boyuan, Xia",2019,938,female
"Xiaoxiong, Zhang",2019,938,female
"Kewei, Yang",2019,938,male
"Bo Yang, Yu",2016,939,female
"Tomonori, Honda",2016,939,male
"Maria, Yang",2016,939,male
"Mostafa, Sharqawy",2016,939,female
"Thomas G, Kannampallil",2011,940,male
"Guido F, Schauer",2011,940,male
"Trevor, Cohen",2011,940,female
"Vimla L, Patel",2011,940,male
"Christos, Ellinas",2018,941,female
"Anders, Johansson",2018,941,female
"Neil, Allan",2018,941,male
"Patricia, Sobradillo",2011,942,female
"Francisco, Pozo",2011,942,male
"Alvar, Agusti",2011,942,female
"Koji, Iwayama",2012,943,female
"Yoshito, Hirata",2012,943,male
"Kazuyuki, Aihara",2012,943,female
"Hideyuki, Suzuki",2012,943,female
"Kohske, Takahashi",2012,943,male
"Katsumi, Watanabe",2012,943,female
"Yilun, Shang",2019,944,male
"Alisson R, Silva",2018,945,male
"Maury M, Gouvea Jr",2018,945,female
"Luis F W, Goes",2018,945,male
"Carlos A P S, Martins",2018,945,male
"Carlo, Bianca",2012,946,female
"Manuel, Caravaca Garraton",2017,947,male
"Martin, Randles",2011,948,female
"David, Lamb",2011,948,female
"A, Taleb Bendiab",2011,948,male
"E, Odat",2011,948,female
"Francois, Martin Vallas",2009,949,male
"Myriam Patricia, Cifuentes",2017,950,female
"Soledad A, Fernandez",2017,950,female
"J Stephen, Topper",2013,951,male
"Nathaniel C, Horner",2013,951,female
"AS, Nyssen",2006,952,female
"A, Blavier",2006,952,male
"Rajeev, Rajaram",2012,953,female
"Brian, Castellani",2012,953,male
"Ian, Durham",2020,954,male
"Shibing, Wang",2016,955,female
"Xingyuan, Wang",2016,955,male
"Bo, Han",2016,955,male
"Iris R, Bell",2006,956,female
"Mary, Koithan",2006,956,male
"Tarannom, Parhizkar",2021,957,female
"Jan Erik, Vinnem",2021,957,female
"Ingrid Bouwer, Utne",2021,957,male
"Ali, Mosleh",2021,957,female
"Sylvia, Walby",2021,958,male
"Stacey, Butler",2020,959,female
"James P, O'Dwyer",2020,959,female
"J Anthony, Stallins",2006,960,male
"William B, Rouse",2007,961,female
"Jeffrey H, Johnson",2007,962,female
"Pejman, Iravani",2007,962,male
"V, Venkatasubramanian",2005,963,female
"Ana V Diez, Roux",2015,964,male
"C G, Ritson",2010,965,male
"P H, Welch",2010,965,female
"Brent A, Langellier",2019,966,male
"Jill A, Kuhlberg",2019,966,male
"Ellis A, Ballard",2019,966,female
"S Claire, Slesinski",2019,966,male
"Ivana, Stankov",2019,966,female
"Ana V Diez, Roux",2019,966,female
"Nelson, Gouveia",2019,966,male
"Jose D, Meisel",2019,966,female
"Maria F, Kroker Lobos",2019,966,male
"Manuel, Ramirez Zea",2019,966,female
"Kevin, Martinez Folgar",2019,966,female
"Olga L, Sarmiento",2019,966,male
"Waleska Teixeira, Caiaffa",2019,966,female
"Marcio, Alazraqui",2019,966,female
"Hugo, Spinelli",2019,966,male
"Carlos, Guevel",2019,966,female
"Vanessa, Di Cecco",2019,966,male
"Adela, Tisnes",2019,966,male
"Carlos, Leveau",2019,966,female
"Adrian, Santoro",2019,966,male
"Damian, Herkovits",2019,966,male
"Mauricio, Barreto",2019,966,female
"Gervasio, Santos",2019,966,male
"Leticia, Cardoso",2019,966,female
"Mariana Carvalho, de Menezes",2019,966,female
"Maria de Fatima, de Pina",2019,966,male
"Amelia Augusta, de Lima Friche",2019,966,female
"Amanda Cristina, de Souza Andrade",2019,966,male
"Patricia, Frenz",2019,966,female
"Tania, Alfaro",2019,966,female
"Cynthia, Cordova",2019,966,male
"Pablo, Ruiz",2019,966,female
"Mauricio, Fuentes",2019,966,female
"Alejandra, Vives Vergara",2019,966,male
"Alejandro, Salazar",2019,966,female
"Andrea, Cortinez O'Ryan",2019,966,male
"Cristian, Schmitt",2019,966,male
"Francisca, Gonzalez",2019,966,female
"Fernando, Baeza",2019,966,male
"Flavia, Angelini",2019,966,male
"Olga Lucia, Sarmiento Duenas",2019,966,female
"Diana, Higuera",2019,966,male
"Catalina, Gonzalez",2019,966,female
"Felipe, Montes",2019,966,female
"Andres F, Useche",2019,966,male
"Oscar, Guaje",2019,966,female
"Ana, Maria Jaramillo",2019,966,male
"Luis, Angel Guzman",2019,966,female
"Philipp, Hessel",2019,966,female
"Diego, Lucumi",2019,966,male
"Jose, David Meisel",2019,966,female
"Eliana, Martinez",2019,966,female
"Tonatiuh, Barrientos Gutierrez",2019,966,male
"Carolina, Perez Ferrer",2019,966,female
"Javier, Prado Galbarro",2019,966,male
"Filipa, de Castro",2019,966,male
"Rosalba, Rojas Martinez",2019,966,female
"J, Jaime Miranda",2019,966,male
"Akram, Hernandez Vasquez",2019,966,male
"Francisco, Diez Canseco",2019,966,female
"Ross, Hammond",2019,966,male
"Daniel, Rodriguez",2019,966,female
"Iryna, Dronova",2019,966,female
"Xize, Wang",2019,966,male
"Mika, Moran",2019,966,female
"Peter, Hovmand",2019,966,male
"Ricardo Jordan, Fuchs",2019,966,female
"Juliet, Braslow",2019,966,female
"Jose, Siri",2019,966,male
"Ana Diez, Roux",2019,966,female
"Amy, Auchincloss",2019,966,female
"Usama, Bilal",2019,966,male
"Felipe, Garcia Espana",2019,966,female
"Brent, Langellier",2019,966,male
"Gina, Lovasi",2019,966,male
"Leslie, McClure",2019,966,female
"Yvonne, Michael",2019,966,male
"Kari, Moore",2019,966,male
"Harrison, Quick",2019,966,female
"D Alex, Quistberg",2019,966,male
"Brisa N, Sanchez",2019,966,female
"Jose Tapia, Granados",2019,966,female
"Dong Han, Ham",2008,967,male
"Jinkyun, Park",2008,967,female
"Wondea, Jung",2008,967,male
"Chris, Swinerd",2012,968,female
"Ken R, McNaught",2012,968,female
"Richard J, Sampson",2015,969,male
"C, Cattani",2007,970,female
"A, Ciancio",2007,970,female
"Barbara, Cosens",2021,971,male
"J B, Ruhl",2021,971,female
"Niko, Soininen",2021,971,male
"Antti, Belinskij",2021,971,male
"Lance, Gunderson",2021,971,female
"Thorsten, Blenckner",2021,971,male
"Alejandro E, Camacho",2021,971,male
"Brian C, Chaffin",2021,971,female
"Robin Kundis, Craig",2021,971,male
"Holly, Doremus",2021,971,female
"Robert, Glicksman",2021,971,female
"Anna Stiina, Heiskanen",2021,971,male
"Rhett, Larson",2021,971,female
"Jukka, Simila",2021,971,male
"Olivier, Le Corre",2015,972,female
"Laurent, Truffet",2015,972,female
"C, Gomez",2014,973,male
"M, Sanchez Silva",2014,973,female
"L, Duenas Osorio",2014,973,female
"Raul, Barrios",2019,974,male
"F, BELLI",1993,975,female
"Alexandre, Vidmer",2015,976,male
"An, Zeng",2015,976,male
"Matus, Medo",2015,976,female
"Yi Cheng, Zhang",2015,976,male
"AC, BUTLER",1993,977,male
"SS, RAO",1993,977,female
"SR, LECLAIR",1993,977,male
"Wei, Ge",2007,978,female
"Feiguo, Chen",2007,978,female
"Jian, Gao",2007,978,male
"Shiqiu, Gao",2007,978,female
"Jin, Huang",2007,978,male
"Xiaoxing, Liu",2007,978,female
"Ying, Ren",2007,978,female
"Qicheng, Sun",2007,978,male
"Limin, Wang",2007,978,female
"Wei, Wang",2007,978,female
"Ning, Yang",2007,978,male
"Jiayuan, Zhang",2007,978,female
"Hui, Zhao",2007,978,male
"Guangzheng, Zhou",2007,978,male
"Jinghai, Li",2007,978,female
"Susan A, Yoon",2008,979,male
"Kin M, Li",2018,980,male
"Arturo, Pacheco Vega",2018,980,male
"Mihir, Sen",2018,980,male
"Mohammad Pourmahmood, Aghababa",2013,981,male
"David, Aikman",2011,982,female
"Philip, Barrett",2011,982,male
"Sujit, Kapadia",2011,982,male
"Mervyn, King",2011,982,male
"James, Proudman",2011,982,female
"Tim, Taylor",2011,982,male
"Iain, de Weymarn",2011,982,male
"Tony, Yates",2011,982,female
"Thawani Mpatama, Sanjika",2016,983,female
"Carel Nicoolas, Bezuidenhout",2016,983,male
"B, Krupa",2002,984,female
"Michael J, Jacobson",2017,985,male
"Lina, Markauskaite",2017,985,male
"Alisha, Portolese",2017,985,male
"Gareth, Roberts",2017,985,male
"Manu, Kapur",2017,985,male
"Polly K, Lai",2017,985,male
"J L, Uso Domenech",2016,986,female
"J A, Nescolarde Selva",2016,986,male
"M, Lloret Climent",2016,986,male
"H, Gash",2016,986,male
"Jenny Suno, Wu",2021,987,female
"Pete, Barbrook Johnson",2021,987,male
"Xavier, Font",2021,987,male
"L, Cristaldi",2005,988,female
"A, Ferrero",2005,988,female
"A, Monti",2005,988,male
"F, Ponci",2005,988,female
"W, McKay",2005,988,male
"R, Dougal",2005,988,male
"J, Ravetz",1999,989,male
"Marco, Daub",2020,990,male
"Fabian, Duddeck",2020,990,male
"Lubomir, Bakule",2016,991,male
"Branislav, Rehak",2016,991,female
"Martin, Papik",2016,991,male
"K, Banas",2006,992,male
"T, Banasik",2006,992,male
"B, Szczesniak Fabianczyk",2006,992,female
"P, Gogol",2006,992,male
"D, Wierzuchowska",2006,992,male
"A, Jasinski",2006,992,female
"Zvonko, Kostanjcar",2016,993,female
