full_name,publication_year,team_id,gender,position
"Renaud, Lambiotte",2019,508,male,first
"Martin, Rosvall",2019,508,female,other
"Ingo, Scholtes",2019,508,male,last
"Leiyu, Chen",2021,509,male,first
"Zhijie, Zhou",2021,509,female,other
"Changhua, Hu",2021,509,female,other
"Ruihua, Yue",2021,509,male,other
"Zhichao, Feng",2021,509,female,last
"Alexander, Gegov",2016,510,female,first
"David, Sanders",2016,510,male,other
"Boriana, Vatchova",2016,510,female,last
"Alan A, Cohen",2016,511,unknown,first
"Jan, Awrejcewicz",2021,512,male,first
"Miguel A F, Sanjuan",2021,512,female,last
"Zhijie, Zhou",2021,513,male,first
"Leiyu, Chen",2021,513,female,other
"Xiaoxia, Han",2021,513,unknown,other
"Shuaiwen, Tang",2021,513,male,other
"Gailing, Li",2021,513,unknown,last
"Federico E, Turkheimer",0,514,unknown,first
"Ottavia, Dipasquale",0,514,unknown,other
"Daniel, Martins",0,514,male,other
"Erik D, Fagerholm",0,514,unknown,other
"Frantisek, Vasa",0,514,female,other
"Robert, Leech",0,514,female,other
"Fernando E, Rosas",0,514,unknown,other
"Paul, Expert",0,514,unknown,other
"Louis David, Lord",0,514,female,last
"Andac T, Arikan",2010,515,male,first
"A A, Malafeeva",2010,516,female,first
"N, Naikar",2001,517,unknown,first
"PM, Sanderson",2001,517,male,last
"BT, Zhang",1997,518,female,first
"P, Ohm",1997,518,male,other
"H, Muhlenbein",1997,518,female,last
"F, MONCHOUX",1995,519,unknown,first
"D, ZELY",1995,519,female,other
"A, CORDIER",1995,519,female,last
"Orlando, Gomes",2021,520,female,first
"Mariya, Gubareva",2021,520,male,last
"Lei, Liu",2014,521,male,first
"Fei, Hu",2014,521,female,last
"Fang, Wang",2018,522,female,first
"Lin, Wang",2018,522,female,other
"Yuming, Chen",2018,522,male,last
"Xiangjun, Wu",2013,523,male,first
"Jinke, Wang",2013,523,female,last
"John, Burkardt",2006,524,female,first
"Max, Gunzburger",2006,524,male,other
"Hyung Chun, Lee",2006,524,female,last
"Haidong, Feng",2010,525,male,first
"Bo, Han",2010,525,female,other
"Jin, Wang",2010,525,male,last
"K R, Lambert",2020,526,unknown,first
"JD, STERMAN",1994,527,unknown,first
"Graham F, Moore",2019,528,male,first
"Rhiannon E, Evans",2019,528,female,other
"G J, Melendez Torres",2019,528,male,other
"Jemma, Hawkins",2019,528,female,other
"Hannah, Littlecott",2019,528,male,other
"Chris, Bonell",2019,528,unknown,other
"Simon, Murphy",2019,528,female,last
"Michele, Tumminello",2011,529,unknown,first
"Salvatore, Micciche",2011,529,male,other
"Fabrizio, Lillo",2011,529,unknown,other
"Rosario N, Mantegna",2011,529,female,other
"Jan, Varho",2011,529,male,other
"Jyrki, Piilo",2011,529,female,last
"Javier, Garcia Rubio",2013,530,unknown,first
"Sergio J, Ibanez",2013,530,male,other
"Antonio, Antunez",2013,530,unknown,other
"Maria, Canadas",2013,530,male,last
"P, Arena",2000,531,female,first
"R, Caponetto",2000,531,unknown,other
"L, Fortuna",2000,531,female,other
"A, Rizzo",2000,531,female,other
"M, La Rosa",2000,531,female,last
"Yanwu, Yang",2018,532,male,first
"Xin, Li",2018,532,female,other
"Daniel, Zeng",2018,532,male,other
"Bernard J, Jansen",2018,532,unknown,last
"Bo, Shen",2012,533,unknown,first
"Zidong, Wang",2012,533,male,other
"Jinling, Liang",2012,533,female,other
"Yurong, Liu",2012,533,unknown,last
"Gottrfied, Mayer Kress",2006,534,female,first
"Yeou Teh, Liu",2006,534,male,other
"Karl M, Newell",2006,534,female,last
"BY, Yaneer",2004,535,male,first
"Emanuela, Merelli",2016,536,female,first
"Luca, Tesei",2016,536,female,other
"Nicola, Paoletti",2016,536,male,last
"Giorgio, Parisi",2006,537,female,first
"Gailing, Li",2019,538,male,first
"Zhijie, Zhou",2019,538,unknown,other
"Changhua, Hu",2019,538,female,other
"Leilei, Chang",2019,538,male,other
"Chuanqiang, Yu",2019,538,female,other
"Hongtao, Zhang",2019,538,male,last
"Laura, Diosan",2008,539,male,first
"Dumitru, Dumitrescu",2008,539,female,last
"Fangfang, Zhang",2014,540,unknown,first
"Shutang, Liu",2014,540,male,last
"Ismihan, Bayramoglu (Bairamov)",2013,541,female,first
"Andreas, Grueneis",2017,542,male,first
"Seiichiro, Ten no",2017,542,female,other
"So, Hirata",2017,542,male,other
"Yu Ya, Ohnishi",2017,542,unknown,last
"Christian, Beck",2009,543,female,first
"Khaoula, Tidriri",2019,544,unknown,first
"Sylvain, Verron",2019,544,unknown,other
"Teodor, Tiplica",2019,544,female,other
"Nizar, Chatti",2019,544,female,last
"George, Mobus",2017,545,unknown,first
"Gawonou Kokou, N'Tsouaglo",2015,546,male,first
"Laurent Karim, Beland",2015,546,female,other
"Jean Francois, Joly",2015,546,female,other
"Normand, Mousseau",2015,546,unknown,other
"Peter, Brommer",2015,546,male,other
"Pascal, Pochet",2015,546,female,last
"Xuan Toa, Tran",2017,547,male,first
"Hee Jun, Kang",2017,547,female,last
"S V, Kozyrev",2015,548,female,first
"Nabil, Sadou",2012,549,female,first
"Romaric, Guillerm",2012,549,female,other
"Hamid, Demmou",2012,549,female,last
"D, Roy",2000,550,male,first
"T, Dasgupta",2000,550,unknown,last
"VA, Vittikh",1998,551,female,first
"Elizabeth, McGill",2021,552,male,first
"Vanessa, Er",2021,552,female,other
"Natalie, Savona",2021,552,male,other
"Tarra, Penney",2021,552,female,other
"Martin, White",2021,552,unknown,other
"Matt, Egan",2021,552,unknown,other
"Dalya, Marks",2021,552,male,other
"Steven, Cummins",2021,552,female,other
"Mark, Petticrew",2021,552,unknown,other
"Petra, Meier",2021,552,female,other
"Margaret, Whitehead",2021,552,female,other
"Rachel Anderson, de Cuevas",2021,552,female,other
"Karen, Lock",2021,552,female,other
"Richard, Smith",2021,552,female,other
"Harry, Rutter",2021,552,unknown,other
"Frank, de Vocht",2021,552,unknown,other
"Jennie, Popay",2021,552,male,last
"Eugene, Ch'ng",2013,553,unknown,first
"S, Jr, Picoli",2009,554,female,first
"Sigal, Samon",2017,555,male,first
"Sharona T, Levy",2017,555,female,last
"Yu, Sun",2021,556,female,first
"Gaoke, Hu",2021,556,female,other
"Yongwen, Zhang",2021,556,female,other
"Bo, Lu",2021,556,unknown,other
"Zhenghui, Lu",2021,556,female,other
"Jingfang, Fan",2021,556,male,other
"Xiaosong, Chen",2021,556,female,other
"Xiaoteng, Li",2021,556,unknown,other
"Qimin, Deng",2021,556,female,last
"Q, Sun",2003,557,unknown,first
"RH, Li",2003,557,female,other
"P, Zhang",2003,557,male,last
"Diorgenes Falcao, Mamedio",2020,558,female,first
"Victor, Meyer Jr",2020,558,male,last
"Xiaoqi, Zhang",2021,559,female,first
"Li, Cheng",2021,559,female,other
"Yang, Liu",2021,559,unknown,other
"Jingtao, Du",2021,559,male,last
"Megan Powell, Cuzzolino",2019,560,male,first
"Tina A, Grotzer",2019,560,male,other
"Eric W, Torres",2019,560,unknown,other
"M Shane, Tutwiler",2019,560,male,last
"German, Terrazas",2007,561,male,first
"Peter, Siepmann",2007,561,male,other
"Graham, Kendall",2007,561,male,other
"Natalio, Krasnogor",2007,561,male,last
"Cindy E, Hmelo Silver",2007,562,male,first
"Surabhi, Marathe",2007,562,male,other
"Lei, Liu",2007,562,unknown,last
"Pier Luigi, Gentili",2021,563,unknown,first
"Jinqiao, Duan",2009,564,female,first
"Lei, Liu",2009,565,male,first
"Cindy E, Hmelo Silver",2009,565,male,last
"Wen, Sun",2011,566,male,first
"Francis, Austin",2011,566,female,other
"Jinhu, Lu",2011,566,male,other
"Shihua, Chen",2011,566,unknown,last
"H, Tianfield",2002,567,unknown,first
"Tiejun Chen, Tiejun Chen",2006,568,female,first
"Qingshan Zeng, Qingshan Zeng",2006,568,male,last
"Susan, Coetzee Van Rooy",2010,569,male,first
"G, Yu",1998,570,male,first
"ST, Lee",1998,570,female,other
"JKL, Lai",1998,570,female,last
"Riley, Crane",2008,571,unknown,first
"Didier, Sornette",2008,571,male,last
"Joshua A, Danish",2011,572,unknown,first
"Kylie, Peppler",2011,572,male,other
"David, Phelps",2011,572,male,other
"DiAnna, Washington",2011,572,male,last
"PS, GRASSIA",1995,573,male,first
"EJ, HINCH",1995,573,female,other
"LC, NITSCHE",1995,573,male,last
"Weiwen, Peng",2016,574,female,first
"Yan Feng, Li",2016,574,male,other
"Jinhua, Mi",2016,574,unknown,other
"Le, Yu",2016,574,unknown,other
"Hong Zhong, Huang",2016,574,female,last
"A Yu, Aleksandrov",2009,575,male,first
"A V, Platonov",2009,575,male,last
"Jun, Zhang",2015,576,male,first
